Date,Open,High,Low,Close,Adj Close,Volume
1998-06-22,50.788719,54.821941,50.758842,54.015297,32.488201,33828268
1998-06-29,54.553059,55.897469,54.254303,55.060947,33.117119,27042866
1998-07-06,54.971317,57.002869,53.895794,56.644360,34.069477,29271054
1998-07-13,56.644360,57.660133,55.449329,57.451004,34.554642,26180753
1998-07-20,57.839390,62.619503,57.510754,59.392925,35.722641,62501428
1998-07-27,59.153919,66.025337,58.436901,63.336521,38.094570,50225782
1998-08-03,64.053535,64.471794,59.273422,61.723232,37.124241,57084405
1998-08-10,61.603729,62.201244,59.273422,59.930687,36.107796,37654745
1998-08-17,59.811184,62.619503,59.392925,61.125717,36.827782,37240111
1998-08-24,61.185467,62.978012,57.749760,58.586281,35.297791,48280849
1998-08-31,58.795410,59.153919,52.939770,57.062618,34.379803,63721902
1998-09-07,59.721558,60.916588,56.494980,60.498325,36.449787,42220953
1998-09-14,61.185467,62.589626,59.392925,59.602055,35.909801,42153172
1998-09-21,57.421127,64.501671,57.361378,63.814533,38.447754,43588702
1998-09-28,64.292542,65.099190,56.853489,59.661808,35.945797,52480539
1998-10-05,59.153919,61.155594,55.837715,60.856834,36.665791,74234620
1998-10-12,62.201244,66.324089,60.498325,64.979683,39.149773,55640924
1998-10-19,64.531548,68.684273,64.531548,67.668503,40.769749,55374194
1998-10-26,67.548996,71.612091,66.951485,70.984703,42.767746,46069815
1998-11-02,70.954826,72.149857,69.670174,71.671844,43.181744,37441570
1998-11-09,72.060226,76.422081,71.671844,75.256927,45.408810,43096873
1998-11-16,75.824570,77.139099,75.346558,76.541588,46.183933,35707930
1998-11-23,76.959846,81.351578,76.750717,81.261948,49.032089,21973531
1998-11-30,81.142448,81.530830,77.557358,78.513382,47.373665,33705467
1998-12-07,78.603012,81.261948,78.035370,80.305923,48.455242,33233931
1998-12-14,79.588913,82.307602,77.676865,82.008842,49.482761,41371183
1998-12-21,82.008842,89.836281,82.008842,89.836281,54.205723,27512939
1998-12-28,89.149139,90.792305,87.715103,88.133362,53.178230,18524032
1999-01-04,88.432121,92.136711,86.759079,89.657028,54.097565,47154100
1999-01-11,90.344170,90.822182,85.504303,88.402245,53.340427,41547330
1999-01-18,89.746651,95.243790,84.906792,85.922562,51.844250,83180850
1999-01-25,87.117592,89.298515,82.934990,87.595604,52.853722,86151279
1999-02-01,88.193115,88.193115,78.662766,79.349907,47.878418,61613375
1999-02-08,79.827919,85.474426,77.318359,82.576485,49.825272,60544781
1999-02-15,83.652008,85.205544,80.694313,82.038719,49.566486,35645379
1999-02-22,82.337479,86.042068,79.588913,81.142448,49.024956,54616262
1999-03-01,81.022942,85.534180,78.901772,85.265297,51.515945,61907092
1999-03-08,85.384796,88.880257,84.637909,85.086044,51.407616,44834698
1999-03-15,85.653679,87.715103,80.305923,80.574806,48.682030,57975596
1999-03-22,80.634560,84.070267,78.393883,82.397224,49.783092,54211879
1999-03-29,83.652008,86.759079,83.353249,84.608032,51.118855,27939706
1999-04-05,85.564056,89.896034,85.354927,89.059509,53.808357,46323156
1999-04-12,87.715103,87.954109,81.321701,81.441208,49.205498,45340334
1999-04-19,81.680206,98.739243,77.915871,95.482796,57.689175,107928373
1999-04-26,97.872849,102.891968,96.707695,99.994026,60.414803,74524571
1999-05-03,99.426384,103.967499,98.619743,103.847992,62.743286,49123716
1999-05-10,103.847992,117.590820,103.011475,114.364243,69.175316,75723287
1999-05-17,112.810707,115.021507,109.554253,110.121895,66.609238,43228461
1999-05-24,110.092018,113.109467,105.640533,110.898659,67.079109,53935107
1999-05-31,108.628105,110.898659,104.624763,110.898659,67.079109,25663506
1999-06-07,112.930206,116.336044,107.612335,109.285370,66.103256,30099277
1999-06-14,110.779160,116.634796,108.986618,115.439774,69.825890,31986889
1999-06-21,117.471321,122.131927,116.216537,117.710327,71.199249,28734876
1999-06-28,118.546844,126.434036,116.814056,126.434036,76.475960,30511403
1999-07-05,126.673042,131.393402,124.880501,131.333649,79.439568,24316361
1999-07-12,131.393402,133.066437,128.585083,130.258133,78.789070,27324972
1999-07-19,130.497131,132.767685,117.232315,119.323616,72.175056,48701237
1999-07-26,118.188339,123.028206,117.351814,120.160133,72.681068,28611656
1999-08-02,118.546844,121.414917,112.392448,118.068832,71.416115,32094314
1999-08-09,118.188339,119.024857,113.706978,117.949333,71.413406,26009313
